Estado,Codigo
México,0700
Aguascalientes,07000001
Baja California,07000002
Baja California Sur,07000003
Campeche,07000004
Coahuila,07000005
Colima,07000006
Chiapas,07000007
Chihuahua,07000008
Ciudad de México,07000009
Durango,07000010
Guanajuato,07000011
Guerrero,07000012
Hidalgo,07000013
Jalisco,07000014
México,07000015
Michoacán,07000016
Morelos,07000017
Nayarit,07000018
Nuevo León,07000019
Oaxaca,07000020
Puebla,07000021
Querétaro,07000022
Quintana Roo,07000023
San Luis Potosí,07000024
Sinaloa,07000025
Sonora,07000026
Tabasco,07000027
Tamaulipas,07000028
Tlaxcala,07000029
Veracruz ,07000030
Yucatán,07000031
Zacatecas,07000032
